author,study_year,Appendix reference,cd4_factor,type,default,sr_2012,sr_2015,added_sr_2019,sr_2019,update_2024,SR_2024,reported_prop,n.e,upper,lower,Notes,cd4_mid,time_on_art_median,,info_for_plot1,info_for_plot2,info_for_plot3
nagot,2016,119,K,2,Included,,Included,,Included,,,0.0013,1236,0.00330072,-0.00070072,Restricted to women with CD4 > 350,,,,,,
namukwaya,2011,70,J,1,Included,,Included,,Included,Included,,,,,,,,,,,,
namukwaya,2011,70,K,1,,,Included,,,Included,,,,,,,,,,,,
namukwaya,2011,70,H,1,Included,,Included,,Included,Included,,,,,,,,,,,,
namukwaya,2011,70,I,1,Included,,Included,,Included,,,0.047372954,1161,0.0612,0.0366,Specifies that AZT was taken after 28 weeks,,,,,,
ndarukwa,2019,71,G,1,,,,,,Included,Included,,,,,,,,,,,
ndarukwa,2019,71,F,1,,,,,,Included,Included,,,,,,,,,,,
nesheim,2007,73,D,1,Included,,Included,,Included,Included,,,,,,,,,,,,
ngoma,2015,74,F,1,,,Included,,,Included,,,,,,,,,,,,
ngoma,2015,74,H,1,Included,,,,Included,Included,,,,,,,,,,,,
ngoma,2015,74,H,2,,,,,Included,,,0.0016,279,0.002030183,0.001169817,,,,,,,
ngoma,2015,74,F,2,Included,,,,,Included,,,,,,,,,,,,
nlend,2013,75,F,1,,,Included,,,Included,,,,,,,,,,,,
nlend,2013,75,K,1,Included,,Included,,Included,,,0.027,110,0.057289913,-0.003289913,Restricted to women with CD4 > 350,,,,,,
nlend,2013,75,I,1,Included,,Included,,Included,Included,,,,,,,,,,,,
nyandiko,2010,76,J,1,Included,,Included,,Included,Included,,,,,,,,,,,,
olana,2016,77,I,1,,,,,Included,Included,,,,,,,,,,,,
olana,2016,77,C,1,,,,,Included,Included,,,,,,,,,,,,
orbaek,2017,78,G,1,Included,,,,Included,Included,,,,,,,,,,,,
palasanthiran,1993,79,D,2,Included,Included,Included,,Included,Included,,,,,,,,,,,,
pellowski,2019,80,I,1,,,,,,Included,Included,,,,,,,,,,,
peltier,2009,81,F,2,Included,,,,,Included,,,,,,,,,,,,
peltier,2009,81,F,1,,Included,Included,,,Included,,,,,,,,,,,,
peltier,2009,81,H,1,Included,,,,Included,Included,,,,,,,,,,,,
peltier,2009,81,G,2,,Included,Included,,,,,,,,,,,,,,,
perry,2016,82,G,1,Included,,,,Included,Included,,,,,,,,,,,,
perry,2016,82,F,1,,,,,,Included,,,,,,,,,,,,
peters,2017,83,G,1,Included,,,,Included,Included,,,,,,,,,,,,
petra study team,2002,84,C,2,,,,,,Included,,,,,,,,,,,,
petra study team,2002,84,C,1,,Included,Included,,,Included,,,,,,,,,,,,
prieto,2012,85,F,1,,,Included,,,Included,,,,,,,,,,,,
rollins,2007,86,D,1,Included,Included,Included,,Included,Included,,,,,,,,,,,,
roongpisuthipong,2001,87,D,1,Included,Included,Included,,Included,Included,,,,,,,,,,,,
sagay,2015,121,G,2,Included,,Included,,,,,0.0003,700,0.001582929,-0.000982929,could not determine paediatric test time for perinatal or BF coverage for BF,,,,,,
sagay,2015,121,G,1,Included,,Included,,,,,0.004285714,700,0.009125053,-0.000553625,could not determine paediatric test time for perinatal or BF coverage for BF,,,,,,
sagay,2015,121,H,1,Included,,Included,,,,,0.004285714,700,0.009125053,-0.000553625,could not determine paediatric test time for perinatal or BF coverage for BF,,,,,,
sagay,2015,121,H,2,,,Included,,,,,,,,,,,,,,,
ocheke,2017,120,G,2,Included,,,,,,,0.0002,806,0.001176248,-0.000776248,cant confirm the amount of peripartum transmission,,NA,,,,
sagay,2015,121,F,2,Included,,Included,,,,,0.0003,856,0.001460151,-0.000860151,insufficent information on time on ART,,,,,,
sagna,2015,88,K,1,Included,,Included,,Included,,,0.018,114,0.042405946,-0.006405946,Restricted to women with CD4 > 350,,,,,,
sagna,2015,88,I,1,Included,,Included,,Included,Included,,,,,,,,,,,,
salazar austin,2018,89,I,1,,,,,Included,Included,,,,,,,,,,,,
salazar austin,2018,89,H,2,,,,,Included,Included,,,,,,,,,,,,
salazar austin,2018,89,F,2,Included,,,,,,,0.0013,171,0.001804068,0.000795932,could not confirm aRt timing,,,,,,
salazar austin,2018,89,H,1,Included,,,,Included,Included,,,,,,,,,,,,
samuel,2014,90,G,1,Included,,Included,,Included,Included,,,,,,,,,,,,
schalkwijk,2017,91,G,1,Included,,,,Included,Included,,,,,,,,,,,,
scott,2017,92,E,1,Included,,,,Included,Included,,,,,,,,,,,,
scott,2017,92,F,1,Included,,,,,,,0.004997224,1801,0.008253909,0.001740539,couldn't confirm timing of ART initiaotn,,,,,,
shaffer,1999,93,A,1,Included,Included,Included,,,Included,,,,,,,,,,,,
shaffer,1999,93,B,1,Included,Included,Included,,,Included,,,,,,,,,,,,
shaffer,1999,93,C,1,Included,Included,Included,,,Included,,,,,,,,,,,,
shapiro,2010,94,F,2,Included,,,,,Included,,,,,,,,,,,,
shapiro,2006,95,K,1,,Included,Included,,,Included,,,,,,,,,,,,
shapiro,2010,94,G,1,,Included,Included,,,,,,,,,,,,,,,
shapiro,2010,94,G,2,,Included,Included,,,,,,,,,,,,,,,
shapiro,2010,94,H,1,Included,,,,Included,Included,,,,,,,,,,,,
shapiro,2006,95,I,1,Included,Included,Included,,Included,,,0.043478261,345,0.0705,0.0265,AZT was started in week 28 so dual arv,,,,,,
shapiro,2010,94,H,2,,Included,Included,,Included,Included,,,,,,,,,,,,
singh,2012,122,D,1,Included,,,,Included,,,0.129,124,0.187999613,0.070000387,Not a peer-reviewed study. ,,,,,,
siubiude,2022,96,G,1,,,,,,Included,Included,,,,,,,,,,,
siubiude,2022,96,F,1,,,,,,Included,Included,,,,,,,,,,,
siubiude,2022,96,F,1,,,,,,Included,Included,,,,,,,,,,,
siubiude,2022,96,F,1,,,,,,Included,Included,,,,,,,,,,,
swen,2008,97,J,1,Included,Included,Included,,Included,Included,,,,,,,,,,,,
thomas,2011,98,F,2,Included,,,,,Included,,,,,,,,,,,,
thomas,2011,98,F,1,,Included,Included,,,Included,,,,,,,,,,,,
thomas,2011,98,H,1,Included,,,,Included,Included,,,,,,,,,,,,
thomas,2011,98,H,2,,Included,Included,,Included,Included,,,,,,,,,,,,
thomas,2011,98,G,2,,Included,Included,,,,,,,,,,,,,,,
tiam,2017,123,H,1,Included,,,,Included,,,0.018,331,0.032323003,0.003676997,not peer reviewed,,,,,,
tiam,2019,99,F,1,,,,,,Included,Included,,,,,,,,,,,
tiam,2019,99,G,1,,,,,,Included,Included,,,,,,,,,,,
tonwe-gold,2007,100,C,2,Included,Included,Included,,,,,0.0061,86,0.022556714,-0.010356714,mothers received AZT+3TC,,,,,,
tonwe-gold,2007,100,L,2,Included,,,,Included,Included,,,,,,,,,,,,
tonwe-gold,2007,100,H,1,Included,,,,Included,Included,,,,,,,,,,,,
tonwe-gold,2007,100,I,1,Included,Included,Included,,Included,Included,,,,,,,,,,,,
tonwe-gold,2007,100,H,2,,,,,Included,Included,,,,,,,,,,,,
tookey,2016,101,G,1,Included,,,,Included,Included,,,,,,,,,,,,
tookey,2016,101,F,1,,,,,,Included,,,,,,,,,,,,
torpey,2012,102,J,1,Included,,,,Included,Included,,,,,,,,,,,,
torpey,2012,102,H,1,Included,,,,Included,Included,,,,,,,,,,,,
torpey,2012,102,I,1,Included,,Included,,Included,Included,,,,,,,,,,South Africa,2010-2013,Published: 2019
tovo,1991,103,D,1,Included,Included,Included,,Included,Included,,,,,,,,,,,,
townsend,2014,104,G,1,Included,,Included,,Included,Included,,,,,,,,,,,,
townsend,2014,104,F,1,,,Included,,,Included,,,,,,,,,,,,
tubiana,2013,105,F,1,,,Included,,,Included,,,,,,,,,,,,
van de perre,1991,106,D,2,Included,Included,Included,,Included,Included,,,,,,,,,,,,
van schalkwyk,2013,107,F,1,,,Included,,,Included,,,,,,,,,,,,
wiktor,1999,108,C,1,,Included,Included,,,Included,,,,,,,,,,,,
wiktor,1999,108,C,2,,Included,Included,,,Included,,,,,,,,,,Iran,2014-2018,Published: 2020
zijenah,2022,110,F,2,,,,,,Included,Included,,,,,,,,,,,
zijenah,2022,110,F,1,,,,,,Included,Included,,,,,,,,,,,
zijenah,2022,110,F,1,,,,,,Included,Included,,,,,,,,,,,
zijenah,2022,110,F,1,,,,,,Included,Included,,,,,,,,,,,
zijenah,2022,110,G,1,,,,,,Included,Included,,,,,,,,,,,
botswana MOH report,2011,112,G,1,,Included,,,,,,,,,,,,,,,,
ejikunle,2019,27,D,1,,,,,,Included,Included,,,,,,,,,,,
choi,2018,13,F,1,,,,,,Included,Included,,,,,,,,,,,
choi,2018,13,G,1,,,,,,Included,Included,,,,,,,,,,,
yusuf,2022,109,G,1,,,,,,Included,Included,,,,,,,,,,,
yusuf,2022,109,G,2,,,,,,Included,Included,,,,,,,,,,,
le roux,2019,56,D,2,,,,,,Included,Included,,,,,,,,,,,
zijenah,2022,110,G,2,,,,,,Included,Included,,,,,,,,,,,
dabis,1999,21,A,2,Included,,,,Included,,,0.000127,145,0.001961199,-0.001707199,mother received AZT,,,,,,
petra study team,2002,84,A,2,Included,,,,Included,,,0.0104,377,0.020640753,0.000159247,mother received AZT/3tc,,,,,,
witkor,1999,108,A,2,Included,,,,Included,,,0.016,140,0.036784979,-0.004784979,mother received AZT  ,,,,,,
nduati,2000,72,C,2,,,,,,Included,,,,,,,,,,,,
illiff,2005,48,A,2,Included,,,,Included,,,0.0073,2060,0.010976147,0.003623853,can't differentiate between other studies,,,,,,
nduati,2000,72,A,2,Included,,,,Included,,,0.0132,191,0.029386052,-0.002986052,,,,,,,
kesho bora,2010,50,C,2,Included,Included,Included,,,,,0.0001,115,0.001927618,-0.001727618,"wasn't truly untreated, mothers had azt",,,,,,
nduati,2000,72,C,2,Included,,,,Included,Included,,,,,,,,,,,,
chasela,2010,9,K,2,Included,,,,Included,,,0.0031,748,0.0097,0,Mothers received AP ARV,,,,,,
